task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
Amend Request for Quotation,230,Clement Duchot,Amend Request for Quotation,Clement Duchot,Fluxicon Disco,Variant 10,10,2011-01-31T19:22:00.000,2011-01-31T19:15:00.000
Analyze Request for Quotation,230,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 10,10,2011-02-02T19:33:00.000,2011-02-02T19:09:00.000
Send Request for Quotation to Supplier,230,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Fluxicon Disco,Variant 10,10,2011-02-03T01:52:00.000,2011-02-03T01:25:00.000
Create Quotation comparison Map,230,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 10,10,2011-02-03T09:55:00.000,2011-02-03T04:30:00.000
Analyze Quotation Comparison Map,230,Alberto Duport,Analyze Quotation Comparison Map,Alberto Duport,Fluxicon Disco,Variant 10,10,2011-02-03T16:47:00.000,2011-02-03T16:22:00.000
Choose best option,230,Anna Kaufmann,Choose best option,Anna Kaufmann,Fluxicon Disco,Variant 10,10,2011-02-03T16:47:00.000,2011-02-03T16:47:00.000
Settle Conditions With Supplier,230,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 10,10,2011-02-04T23:43:00.000,2011-02-04T17:09:00.000
Create Purchase Order,230,Karel de Groot,Create Purchase Order,Karel de Groot,Fluxicon Disco,Variant 10,10,2011-02-05T13:29:00.000,2011-02-05T13:21:00.000
Confirm Purchase Order,230,Karen Clarens,Confirm Purchase Order,Karen Clarens,Fluxicon Disco,Variant 10,10,2011-02-06T07:02:00.000,2011-02-06T06:45:00.000
Deliver Goods Services,230,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Fluxicon Disco,Variant 10,10,2011-02-10T13:45:00.000,2011-02-08T13:32:00.000
Release Purchase Order,230,Kim Passa,Release Purchase Order,Kim Passa,Fluxicon Disco,Variant 10,10,2011-02-10T20:38:00.000,2011-02-10T20:37:00.000
Approve Purchase Order for payment,230,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 10,10,2011-02-12T04:22:00.000,2011-02-12T04:21:00.000
Send Invoice,230,Karen Clarens,Send Invoice,Karen Clarens,Fluxicon Disco,Variant 10,10,2011-02-12T10:42:00.000,2011-02-12T10:42:00.000
Release Supplier's Invoice,230,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 10,10,2011-02-13T01:15:00.000,2011-02-13T01:08:00.000
Authorize Supplier's Invoice payment,230,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 10,10,2011-02-13T01:15:00.000,2011-02-13T01:15:00.000
Pay Invoice,230,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 10,10,2011-02-13T02:27:00.000,2011-02-13T02:14:00.000
Create Purchase Requisition,232,Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,Fluxicon Disco,Variant 7,7,2011-01-31T15:34:00.000,2011-01-31T14:47:00.000
Analyze Purchase Requisition,232,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Fluxicon Disco,Variant 7,7,2011-02-01T05:42:00.000,2011-02-01T05:38:00.000
Create Request for Quotation,232,Francis Odell,Create Request for Quotation,Francis Odell,Fluxicon Disco,Variant 7,7,2011-02-01T05:49:00.000,2011-02-01T05:47:00.000
Analyze Request for Quotation,232,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 7,7,2011-02-05T14:50:00.000,2011-02-05T14:24:00.000
Send Request for Quotation to Supplier,232,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Fluxicon Disco,Variant 7,7,2011-02-05T20:47:00.000,2011-02-05T20:25:00.000
Create Quotation comparison Map,232,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Fluxicon Disco,Variant 7,7,2011-02-06T00:54:00.000,2011-02-05T21:54:00.000
Analyze Quotation Comparison Map,232,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,Fluxicon Disco,Variant 7,7,2011-02-06T07:54:00.000,2011-02-06T07:22:00.000
Choose best option,232,Fjodor Kowalski,Choose best option,Fjodor Kowalski,Fluxicon Disco,Variant 7,7,2011-02-06T07:54:00.000,2011-02-06T07:54:00.000
Settle Conditions With Supplier,232,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 7,7,2011-02-06T23:46:00.000,2011-02-06T15:09:00.000
Create Purchase Order,232,Francois de Perrier,Create Purchase Order,Francois de Perrier,Fluxicon Disco,Variant 7,7,2011-02-07T03:42:00.000,2011-02-07T03:34:00.000
Confirm Purchase Order,232,Kiu Kan,Confirm Purchase Order,Kiu Kan,Fluxicon Disco,Variant 7,7,2011-02-07T08:33:00.000,2011-02-07T08:01:00.000
Deliver Goods Services,232,Sean Manney,Deliver Goods Services,Sean Manney,Fluxicon Disco,Variant 7,7,2011-02-13T00:11:00.000,2011-02-11T11:46:00.000
Release Purchase Order,232,Tesca Lobes,Release Purchase Order,Tesca Lobes,Fluxicon Disco,Variant 7,7,2011-02-13T07:44:00.000,2011-02-13T07:43:00.000
Approve Purchase Order for payment,232,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Fluxicon Disco,Variant 7,7,2011-02-13T14:22:00.000,2011-02-13T14:21:00.000
Send Invoice,232,Esmeralda Clay,Send Invoice,Esmeralda Clay,Fluxicon Disco,Variant 7,7,2011-02-14T15:10:00.000,2011-02-14T15:10:00.000
Release Supplier's Invoice,232,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 7,7,2011-02-15T05:39:00.000,2011-02-15T05:33:00.000
Settle Dispute With Supplier,232,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Fluxicon Disco,Variant 7,7,2011-02-15T06:33:00.000,2011-02-15T06:12:00.000
Authorize Supplier's Invoice payment,232,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 7,7,2011-02-15T06:33:00.000,2011-02-15T06:33:00.000
Pay Invoice,232,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 7,7,2011-02-15T07:05:00.000,2011-02-15T06:57:00.000
Create Purchase Requisition,233,Miu Hanwan,Create Purchase Requisition,Miu Hanwan,Fluxicon Disco,Variant 9,9,2011-01-31T15:51:00.000,2011-01-31T15:09:00.000
Create Request for Quotation,233,Esmana Liubiata,Create Request for Quotation,Esmana Liubiata,Fluxicon Disco,Variant 9,9,2011-01-31T18:43:00.000,2011-01-31T18:36:00.000
Analyze Request for Quotation,233,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 9,9,2011-02-05T16:41:00.000,2011-02-05T16:00:00.000
Send Request for Quotation to Supplier,233,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Fluxicon Disco,Variant 9,9,2011-02-05T19:14:00.000,2011-02-05T18:50:00.000
Create Quotation comparison Map,233,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 9,9,2011-02-05T23:30:00.000,2011-02-05T20:12:00.000
Analyze Quotation Comparison Map,233,Anne Olwada,Analyze Quotation Comparison Map,Anne Olwada,Fluxicon Disco,Variant 9,9,2011-02-06T06:49:00.000,2011-02-06T06:23:00.000
Choose best option,233,Anne Olwada,Choose best option,Anne Olwada,Fluxicon Disco,Variant 9,9,2011-02-06T06:49:00.000,2011-02-06T06:49:00.000
Settle Conditions With Supplier,233,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 9,9,2011-02-07T03:34:00.000,2011-02-06T16:25:00.000
Create Purchase Order,233,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 9,9,2011-02-07T05:48:00.000,2011-02-07T05:37:00.000
Confirm Purchase Order,233,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Fluxicon Disco,Variant 9,9,2011-02-08T08:31:00.000,2011-02-08T07:57:00.000
Deliver Goods Services,233,Kiu Kan,Deliver Goods Services,Kiu Kan,Fluxicon Disco,Variant 9,9,2011-02-10T10:18:00.000,2011-02-09T18:15:00.000
Release Purchase Order,233,Alberto Duport,Release Purchase Order,Alberto Duport,Fluxicon Disco,Variant 9,9,2011-02-10T18:06:00.000,2011-02-10T18:05:00.000
Approve Purchase Order for payment,233,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Fluxicon Disco,Variant 9,9,2011-02-13T03:57:00.000,2011-02-13T03:56:00.000
Send Invoice,233,Esmeralda Clay,Send Invoice,Esmeralda Clay,Fluxicon Disco,Variant 9,9,2011-02-13T14:44:00.000,2011-02-13T14:44:00.000
Release Supplier's Invoice,233,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 9,9,2011-02-14T05:08:00.000,2011-02-14T05:01:00.000
Settle Dispute With Supplier,233,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Fluxicon Disco,Variant 9,9,2011-02-14T06:11:00.000,2011-02-14T05:42:00.000
Authorize Supplier's Invoice payment,233,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 9,9,2011-02-14T06:11:00.000,2011-02-14T06:11:00.000
Pay Invoice,233,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 9,9,2011-02-14T07:04:00.000,2011-02-14T06:55:00.000
Create Purchase Requisition,235,Anne Olwada,Create Purchase Requisition,Anne Olwada,Fluxicon Disco,Variant 7,7,2011-01-31T20:20:00.000,2011-01-31T19:49:00.000
Analyze Purchase Requisition,235,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Fluxicon Disco,Variant 7,7,2011-02-01T07:32:00.000,2011-02-01T07:26:00.000
Create Request for Quotation,235,Francis Odell,Create Request for Quotation,Francis Odell,Fluxicon Disco,Variant 7,7,2011-02-01T07:41:00.000,2011-02-01T07:39:00.000
Analyze Request for Quotation,235,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 7,7,2011-02-05T17:23:00.000,2011-02-05T17:11:00.000
Send Request for Quotation to Supplier,235,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Fluxicon Disco,Variant 7,7,2011-02-08T01:52:00.000,2011-02-08T01:26:00.000
Create Quotation comparison Map,235,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 7,7,2011-02-08T03:26:00.000,2011-02-08T02:47:00.000
Analyze Quotation Comparison Map,235,Clement Duchot,Analyze Quotation Comparison Map,Clement Duchot,Fluxicon Disco,Variant 7,7,2011-02-08T10:57:00.000,2011-02-08T10:28:00.000
Choose best option,235,Immanuel Karagianni,Choose best option,Immanuel Karagianni,Fluxicon Disco,Variant 7,7,2011-02-08T10:57:00.000,2011-02-08T10:57:00.000
Settle Conditions With Supplier,235,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 7,7,2011-02-09T12:34:00.000,2011-02-09T00:09:00.000
Create Purchase Order,235,Karel de Groot,Create Purchase Order,Karel de Groot,Fluxicon Disco,Variant 7,7,2011-02-09T21:39:00.000,2011-02-09T21:27:00.000
Confirm Purchase Order,235,Karen Clarens,Confirm Purchase Order,Karen Clarens,Fluxicon Disco,Variant 7,7,2011-02-10T22:57:00.000,2011-02-10T22:45:00.000
Deliver Goods Services,235,Kiu Kan,Deliver Goods Services,Kiu Kan,Fluxicon Disco,Variant 7,7,2011-02-12T15:19:00.000,2011-02-11T10:10:00.000
Release Purchase Order,235,Miu Hanwan,Release Purchase Order,Miu Hanwan,Fluxicon Disco,Variant 7,7,2011-02-12T22:47:00.000,2011-02-12T22:46:00.000
Approve Purchase Order for payment,235,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Fluxicon Disco,Variant 7,7,2011-02-13T03:56:00.000,2011-02-13T03:55:00.000
Send Invoice,235,Kiu Kan,Send Invoice,Kiu Kan,Fluxicon Disco,Variant 7,7,2011-02-14T00:13:00.000,2011-02-14T00:13:00.000
Release Supplier's Invoice,235,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 7,7,2011-02-14T14:36:00.000,2011-02-14T14:33:00.000
Settle Dispute With Supplier,235,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Fluxicon Disco,Variant 7,7,2011-02-14T15:50:00.000,2011-02-14T15:25:00.000
Authorize Supplier's Invoice payment,235,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 7,7,2011-02-14T15:55:00.000,2011-02-14T15:55:00.000
Pay Invoice,235,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 7,7,2011-02-14T16:21:00.000,2011-02-14T16:17:00.000
Create Purchase Requisition,236,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Fluxicon Disco,Variant 25,25,2011-02-01T06:46:00.000,2011-02-01T05:52:00.000
Create Request for Quotation,236,Fjodor Kowalski,Create Request for Quotation,Fjodor Kowalski,Fluxicon Disco,Variant 25,25,2011-02-01T11:27:00.000,2011-02-01T11:11:00.000
Analyze Request for Quotation,236,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 25,25,2011-02-05T19:07:00.000,2011-02-05T18:46:00.000
Send Request for Quotation to Supplier,236,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Fluxicon Disco,Variant 25,25,2011-02-06T04:54:00.000,2011-02-06T04:29:00.000
Create Quotation comparison Map,236,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Fluxicon Disco,Variant 25,25,2011-02-06T06:58:00.000,2011-02-06T06:20:00.000
Analyze Quotation Comparison Map,236,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Fluxicon Disco,Variant 25,25,2011-02-06T13:39:00.000,2011-02-06T13:28:00.000
Choose best option,236,Fjodor Kowalski,Choose best option,Fjodor Kowalski,Fluxicon Disco,Variant 25,25,2011-02-06T13:39:00.000,2011-02-06T13:39:00.000
Settle Conditions With Supplier,236,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 25,25,2011-02-07T05:37:00.000,2011-02-07T00:30:00.000
Create Purchase Order,236,Francois de Perrier,Create Purchase Order,Francois de Perrier,Fluxicon Disco,Variant 25,25,2011-02-07T22:14:00.000,2011-02-07T22:06:00.000
Confirm Purchase Order,236,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Fluxicon Disco,Variant 25,25,2011-02-08T07:57:00.000,2011-02-08T07:24:00.000
Deliver Goods Services,236,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Fluxicon Disco,Variant 25,25,2011-02-10T08:17:00.000,2011-02-10T04:51:00.000
Release Purchase Order,236,Clement Duchot,Release Purchase Order,Clement Duchot,Fluxicon Disco,Variant 25,25,2011-02-10T16:25:00.000,2011-02-10T16:24:00.000
Settle Dispute With Supplier,236,Magdalena Predutta,Settle Dispute With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 25,25,2011-02-11T09:23:00.000,2011-02-10T23:41:00.000
Release Purchase Order,236,Elvira Lores,Release Purchase Order,Elvira Lores,Fluxicon Disco,Variant 25,25,2011-02-11T16:56:00.000,2011-02-11T16:55:00.000
Approve Purchase Order for payment,236,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 25,25,2011-02-12T18:36:00.000,2011-02-12T18:35:00.000
Send Invoice,236,Kiu Kan,Send Invoice,Kiu Kan,Fluxicon Disco,Variant 25,25,2011-02-13T23:25:00.000,2011-02-13T23:25:00.000
Release Supplier's Invoice,236,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 25,25,2011-02-14T13:45:00.000,2011-02-14T13:42:00.000
Authorize Supplier's Invoice payment,236,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 25,25,2011-02-14T13:45:00.000,2011-02-14T13:45:00.000
Pay Invoice,236,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 25,25,2011-02-14T14:24:00.000,2011-02-14T14:09:00.000
Create Purchase Requisition,237,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Fluxicon Disco,Variant 14,14,2011-02-01T08:25:00.000,2011-02-01T07:34:00.000
Create Request for Quotation,237,Anne Olwada,Create Request for Quotation,Anne Olwada,Fluxicon Disco,Variant 14,14,2011-02-01T09:58:00.000,2011-02-01T09:50:00.000
Analyze Request for Quotation,237,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 14,14,2011-02-10T02:58:00.000,2011-02-10T02:36:00.000
Amend Request for Quotation,237,Immanuel Karagianni,Amend Request for Quotation,Immanuel Karagianni,Fluxicon Disco,Variant 14,14,2011-02-10T03:55:00.000,2011-02-10T03:46:00.000
Analyze Request for Quotation,237,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 14,14,2011-02-11T18:11:00.000,2011-02-11T17:43:00.000
Create Purchase Requisition,24,Miu Hanwan,Create Purchase Requisition,Miu Hanwan,Fluxicon Disco,Variant 8,8,2011-01-03T09:34:00.000,2011-01-03T09:18:00.000
Create Request for Quotation,24,Nico Ojenbeer,Create Request for Quotation,Nico Ojenbeer,Fluxicon Disco,Variant 8,8,2011-01-03T12:09:00.000,2011-01-03T12:02:00.000
Analyze Request for Quotation,24,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 8,8,2011-01-03T19:41:00.000,2011-01-03T19:16:00.000
Amend Request for Quotation,24,Heinz Gutschmidt,Amend Request for Quotation,Heinz Gutschmidt,Fluxicon Disco,Variant 8,8,2011-01-04T11:56:00.000,2011-01-04T11:41:00.000
Analyze Request for Quotation,24,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 8,8,2011-01-04T16:11:00.000,2011-01-04T15:52:00.000
Send Request for Quotation to Supplier,24,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Fluxicon Disco,Variant 8,8,2011-01-05T13:33:00.000,2011-01-05T13:15:00.000
Create Quotation comparison Map,24,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Fluxicon Disco,Variant 8,8,2011-01-06T01:41:00.000,2011-01-06T00:24:00.000
Analyze Quotation Comparison Map,24,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,Fluxicon Disco,Variant 8,8,2011-01-06T08:54:00.000,2011-01-06T08:28:00.000
Choose best option,24,Immanuel Karagianni,Choose best option,Immanuel Karagianni,Fluxicon Disco,Variant 8,8,2011-01-06T08:54:00.000,2011-01-06T08:54:00.000
Settle Conditions With Supplier,24,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Fluxicon Disco,Variant 8,8,2011-01-06T20:34:00.000,2011-01-06T13:36:00.000
Create Purchase Order,24,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 8,8,2011-01-06T22:11:00.000,2011-01-06T22:05:00.000
Confirm Purchase Order,24,Kiu Kan,Confirm Purchase Order,Kiu Kan,Fluxicon Disco,Variant 8,8,2011-01-07T07:33:00.000,2011-01-07T07:19:00.000
Deliver Goods Services,24,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Fluxicon Disco,Variant 8,8,2011-01-09T11:22:00.000,2011-01-07T15:31:00.000
Release Purchase Order,24,Alberto Duport,Release Purchase Order,Alberto Duport,Fluxicon Disco,Variant 8,8,2011-01-09T19:29:00.000,2011-01-09T19:28:00.000
Approve Purchase Order for payment,24,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Fluxicon Disco,Variant 8,8,2011-01-12T08:00:00.000,2011-01-12T07:59:00.000
Send Invoice,24,Carmen Finacse,Send Invoice,Carmen Finacse,Fluxicon Disco,Variant 8,8,2011-01-14T23:22:00.000,2011-01-14T23:22:00.000
Release Supplier's Invoice,24,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 8,8,2011-01-15T13:49:00.000,2011-01-15T13:46:00.000
Authorize Supplier's Invoice payment,24,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 8,8,2011-01-15T13:49:00.000,2011-01-15T13:49:00.000
Pay Invoice,24,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 8,8,2011-01-15T14:22:00.000,2011-01-15T14:16:00.000
Create Purchase Requisition,242,Kim Passa,Create Purchase Requisition,Kim Passa,Fluxicon Disco,Variant 1,1,2011-02-02T09:26:00.000,2011-02-02T09:18:00.000
Analyze Purchase Requisition,242,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Fluxicon Disco,Variant 1,1,2011-02-03T00:23:00.000,2011-02-03T00:18:00.000
Create Request for Quotation,242,Maris Freeman,Create Request for Quotation,Maris Freeman,Fluxicon Disco,Variant 1,1,2011-02-03T00:31:00.000,2011-02-03T00:28:00.000
Analyze Request for Quotation,242,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-02-05T14:24:00.000,2011-02-05T13:45:00.000
Send Request for Quotation to Supplier,242,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-02-05T23:58:00.000,2011-02-05T23:30:00.000
Create Quotation comparison Map,242,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-02-06T03:38:00.000,2011-02-06T00:04:00.000
Analyze Quotation Comparison Map,242,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Fluxicon Disco,Variant 1,1,2011-02-06T10:54:00.000,2011-02-06T10:21:00.000
Choose best option,242,Clement Duchot,Choose best option,Clement Duchot,Fluxicon Disco,Variant 1,1,2011-02-06T10:54:00.000,2011-02-06T10:54:00.000
Settle Conditions With Supplier,242,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-02-08T01:11:00.000,2011-02-07T14:57:00.000
Create Purchase Order,242,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-02-08T09:14:00.000,2011-02-08T09:04:00.000
Confirm Purchase Order,242,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Fluxicon Disco,Variant 1,1,2011-02-08T13:32:00.000,2011-02-08T13:22:00.000
Deliver Goods Services,242,Karen Clarens,Deliver Goods Services,Karen Clarens,Fluxicon Disco,Variant 1,1,2011-02-10T22:45:00.000,2011-02-09T19:46:00.000
Release Purchase Order,242,Miu Hanwan,Release Purchase Order,Miu Hanwan,Fluxicon Disco,Variant 1,1,2011-02-11T06:31:00.000,2011-02-11T06:30:00.000
Approve Purchase Order for payment,242,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-02-11T22:39:00.000,2011-02-11T22:38:00.000
Send Invoice,242,Kiu Kan,Send Invoice,Kiu Kan,Fluxicon Disco,Variant 1,1,2011-02-12T15:19:00.000,2011-02-12T15:19:00.000
Release Supplier's Invoice,242,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-02-13T05:38:00.000,2011-02-13T05:33:00.000
Authorize Supplier's Invoice payment,242,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 1,1,2011-02-13T05:38:00.000,2011-02-13T05:38:00.000
Pay Invoice,242,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 1,1,2011-02-13T06:08:00.000,2011-02-13T05:54:00.000
Create Purchase Requisition,245,Penn Osterwalder,Create Purchase Requisition,Penn Osterwalder,Fluxicon Disco,Variant 10,10,2011-02-02T20:11:00.000,2011-02-02T19:14:00.000
Create Request for Quotation,245,Fjodor Kowalski,Create Request for Quotation,Fjodor Kowalski,Fluxicon Disco,Variant 10,10,2011-02-02T22:19:00.000,2011-02-02T22:13:00.000
Analyze Request for Quotation,245,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 10,10,2011-02-06T00:15:00.000,2011-02-05T23:58:00.000
Amend Request for Quotation,245,Christian Francois,Amend Request for Quotation,Christian Francois,Fluxicon Disco,Variant 10,10,2011-02-06T01:18:00.000,2011-02-06T01:03:00.000
Analyze Request for Quotation,245,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 10,10,2011-02-06T06:19:00.000,2011-02-06T05:55:00.000
Amend Request for Quotation,245,Elvira Lores,Amend Request for Quotation,Elvira Lores,Fluxicon Disco,Variant 10,10,2011-02-06T07:19:00.000,2011-02-06T07:06:00.000
Analyze Request for Quotation,245,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 10,10,2011-02-10T03:22:00.000,2011-02-10T03:08:00.000
Send Request for Quotation to Supplier,245,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Fluxicon Disco,Variant 10,10,2011-02-11T07:12:00.000,2011-02-11T06:44:00.000
Create Quotation comparison Map,245,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Fluxicon Disco,Variant 10,10,2011-02-11T14:23:00.000,2011-02-11T10:59:00.000
Analyze Quotation Comparison Map,245,Tesca Lobes,Analyze Quotation Comparison Map,Tesca Lobes,Fluxicon Disco,Variant 10,10,2011-02-11T21:33:00.000,2011-02-11T21:17:00.000
Choose best option,245,Clement Duchot,Choose best option,Clement Duchot,Fluxicon Disco,Variant 10,10,2011-02-11T21:33:00.000,2011-02-11T21:33:00.000
Settle Conditions With Supplier,245,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 10,10,2011-02-12T19:06:00.000,2011-02-12T12:33:00.000
Create Purchase Order,245,Karel de Groot,Create Purchase Order,Karel de Groot,Fluxicon Disco,Variant 10,10,2011-02-13T01:58:00.000,2011-02-13T01:48:00.000
Confirm Purchase Order,245,Kiu Kan,Confirm Purchase Order,Kiu Kan,Fluxicon Disco,Variant 10,10,2011-02-14T00:13:00.000,2011-02-13T23:56:00.000
Deliver Goods Services,245,Sean Manney,Deliver Goods Services,Sean Manney,Fluxicon Disco,Variant 10,10,2011-02-16T13:57:00.000,2011-02-15T00:32:00.000
Release Purchase Order,245,Miu Hanwan,Release Purchase Order,Miu Hanwan,Fluxicon Disco,Variant 10,10,2011-02-16T21:14:00.000,2011-02-16T21:13:00.000
Approve Purchase Order for payment,245,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Fluxicon Disco,Variant 10,10,2011-02-17T07:38:00.000,2011-02-17T07:37:00.000
Send Invoice,245,Carmen Finacse,Send Invoice,Carmen Finacse,Fluxicon Disco,Variant 10,10,2011-02-17T20:35:00.000,2011-02-17T20:35:00.000
Release Supplier's Invoice,245,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 10,10,2011-02-18T11:06:00.000,2011-02-18T11:00:00.000
Authorize Supplier's Invoice payment,245,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 10,10,2011-02-18T11:06:00.000,2011-02-18T11:06:00.000
Pay Invoice,245,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 10,10,2011-02-18T11:57:00.000,2011-02-18T11:46:00.000
